ID,Time,Prompt,year,L2type,International,Major,Major_category,Age,L1,citizenship,Gender,Age_of_onset,Years_of_studying_En_numbers,ESL_experience,Eng_immersion,Proficiency_test,Prof_test_comment,RunSpanScore,RunSpanTotal,NC_RT,NCWd_RT,NC_score2,RCNb_RT,RCNd_RT,RC_score2,NC_AC,NCWd_AC,RCNb_AC,RCDd_AC,GK_Score,GM_form_1,VC1_raw,VC1_ESS,R1_raw,R1_ESS,W1_WCPM,W1_intro,W1_body,W1_concl,W1_organi,W1_topic,W1_gramm,W1_voice,W1_word,W1_sentence,W1
41,"W, 9/27/2017",Appearance,1st,international,yes,Biology,"Science, Math, and Technology",19,Shona,Zimbabwe,Female,5,14,Yes,6,No,,14,33,772.8,877.35,0.135287267,457.7,795.05,0.737054839,20,20,20,19,10,T,21,547,32,567,23.6,4.5,2.5,2.5,2.5,2.5,3.5,3.5,2.5,3.5,2.5
42,"Th, 9/28/2017",Appearance,1st,international,yes,Marketing,Business,31,Croatian,Croatia,Female,7,24,No,1,Yes,99 (TOEFL),36,50,640.8,746.45,0.164872035,473.4,498.95,0.053971272,20,20,20,19,13,T,23,552,39,590,31.5,3.5,3.5,3.5,3.5,3.5,4.5,3.5,3.5,4.5,3.5
43,"Th, 9/28/2017",Appearance,1st,international,yes,Actuarial Science,Business,18,yoruba,nigeria,Female,3,15,No,1,No,,23,30,665.3,753.95,0.133248159,522.65,618.0555556,0.18254196,20,20,20,20,9,T,24,555,26,553,,1.5,1,1,1.5,2.5,3.5,2.5,2.5,3.5,1.5
44,"F, 9/29/2017",Appearance,3rd,international,yes,Poltitical science,Social Sciences,20,French,france,Female,11,9,No,3,No,,18,35,805.3,853.8,0.060226003,544.6,579.1,0.063349247,20,20,20,20,17,T,22,549,35,576,20.5,3.5,4.5,3.5,4.5,4.5,3.5,3.5,4.5,4.5,4.5
45,"F, 9/29/2017",Appearance,3rd,international,yes,political science,Social Sciences,19,French,france,Female,6,13,No,3,No,,39,42,846.25,948.35,0.120649926,536.4,576.25,0.074291573,20,20,20,20,18,T,35,590,42,606,20.3,3.5,3,3.5,2.5,2.5,3.5,2.5,3.5,2.5,2.5
46,"Th, 10/12/2017",Appearance,3rd,international,yes,Political science/Law,Social Sciences,20,French,France,Female,5,15,No,3,Yes,Toefl: 105,21,46,573.55,689.2105263,0.201657268,532.6,516.5,-0.030229065,20,20,20,20,19,T,26,560,41,599,41.7,2.5,3.5,2.5,2.5,2.5,3.5,2.5,2.5,3.5,2.5
47,"F, 10/13/2017",Appearance,3rd,international,yes,Business,Business,21,Italian,ITALY,Female,10,11,Yes,1,No,,11,26,478.6842105,490.5882353,0.024868221,381.2352941,344.9444444,-0.095192786,20,20,20,20,22,T,20,544,40,593,31.5,4.5,3.5,3.5,4.5,3.5,2.5,3,2.5,3.5,3.5
48,"F, 10/13/2017",Appearance,3rd,international,yes,Political Science,Social Sciences,20,French,France,Female,7,13,Yes,3,Yes,TOEFL 91,22,41,620.25,764.6,0.232728738,445.9,538.3,0.20722135,20,20,20,20,15,T,21,547,30,562,40.5,3,3.5,3.5,4.5,3.5,2.5,3.5,3,3.5,3.5
49,"F, 10/13/2017",Appearance,2nd,international,yes,Business Administration,Business,22,French,Burkina Faso,Male,13,9,Yes,3,No,,14,28,744.85,907.8421053,0.218825408,511.05,571.9,0.119068584,20,19,20,20,16,T,31,576,37,582,28.3,5.5,5.5,5.5,5.5,4.5,5.5,5.5,4.5,5.5,5.5
50,"F, 10.20/2017",Appearance,1st,international,yes,SOCIAL ENTREPRENEURSHIP,Social Sciences,22,French,DEMOCRATIC REPUBLIC OF CONGO,Female,11,11,Yes,2,Yes,480,26,34,664.4,799.4,0.203190849,485.55,487.1,0.003192256,20,20,20,20,10,T,17,535,25,551,25.3,1.5,2.5,1.5,2.5,2.5,4.5,2.5,3.5,2.5,2.5
